2026-05-26T14:27:58.002324 | UPLOAD | 20260420建線 & 0422生產_Qbi製程記錄表_比濁_S-DMA_UMRZ26D049.xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26D049 | LOT= | OK
2026-05-26T14:27:59.747564 | UPLOAD | 20260420建線 & 0422生產_Qbi製程記錄表_比濁_cCRP 犬C反应蛋白_UMRZ26D049.xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26D049 | LOT= | OK
2026-05-26T14:28:01.592000 | UPLOAD | 20260421建線 & 0423生產_Qbi製程記錄表_比濁_TT4 总甲状腺素_UMRZ26D049.xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26D049 | LOT= | OK
2026-05-26T14:28:03.387984 | UPLOAD | 20260424建線 & 0429生產_Qbi製程記錄表_(EQ) 馬匹健康检查 Equine  26_UMRZ26D046(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26D046 | LOT= | OK
2026-05-26T14:28:08.398583 | UPLOAD | 20260504建線 & 0506生產_Qbi製程記錄表_Optimum Wellness  37_ UMRZ26D054(退OW3).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26D054 | LOT= | OK
2026-05-26T14:28:08.411088 | UPLOAD | 20260504建線 & 0506生產_Qbi製程記錄表_Optimum Wellness  37_ UMRZ26D054(退OW3).xlsx | SHEET=ow (1 2) | TYPE=standard | WO=UMRZ26D054 | LOT= | OK
2026-05-26T14:28:08.423405 | UPLOAD | 20260504建線 & 0506生產_Qbi製程記錄表_Optimum Wellness  37_ UMRZ26D054(退OW3).xlsx | SHEET=ow (3) | TYPE=standard | WO=UMRZ26D054 | LOT= | OK
2026-05-26T14:28:10.132668 | UPLOAD | Ruby找藥 -   20260417建線 & 0422生產_Qbi製程記錄表_(EL) 電解質 Electrolytes 7_UMRZ26D016  (BEADS已發)(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26D016 | LOT= | OK
2026-05-26T14:28:11.916397 | UPLOAD | Ruby找藥 -- 20260408 建線 & 0506 生產_Qbi製程記錄表_(CO) 核心生化 Core Chem 13_UMRZ26D017   (BEADS已發)(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26D017 | LOT= | OK
2026-05-26T14:28:13.649502 | UPLOAD | Ruby找藥 -- 20260422建線 & 0424生產_Qbi製程記錄表_(RL) 腎功能檢查 Renal  15_UMRZ26D025          0409發 (BEADS已發)(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26D025 | LOT= | OK
